eng,kor,code
Afrikaans,아프리칸스어,af
Albanian,알바니아어,sq
Amharic,암하라어,am
Arabic,아랍어,ar
Armenian,아르메니아어,hy
Azerbaijani,아제르바이잔어,az
Basque,바스크어,eu
Belarusian,벨라루스어,be
Bengali,벵골어,bn
Bosnian,보스니아어,bs
Bulgarian,불가리아어,bg
Catalan,카탈루냐어,ca
Cebuano,세부아노어,ceb
Chinese (Simplified),중국어(간체),zh-CN
Chinese (Traditional),중국어(번체),zh-TW
Corsican,코르시카어,co
Croatian,크로아티아어,hr
Czech,체코어,cs
Danish,덴마크어,da
Dutch,네덜란드어,nl
English,영어,en
Esperanto,에스페란토,eo
Estonian,에스토니아어,et
Finnish,핀란드어,fi
French,프랑스어,fr
Frisian,프리지아어,fy
Galician,갈리시아어,gl
Georgian,조지아어,ka
German,독일어,de
Greek,그리스어,el
Gujarati,구자라트어,gu
Haitian Creole,아이티 크리올어,ht
Hausa,하우사어,ha
Hawaiian,하와이어,haw
Hebrew,히브리어,"he, iw"
Hindi,힌디어,hi
Hmong,몽어,hmn
Hungarian,헝가리어,hu
Icelandic,아이슬란드어,is
Igbo,이그보어,ig
Indonesian,인도네시아어,id
Irish,아일랜드,ga
Italian,이탈리아어,it
Japanese,일본어,ja
Javanese,자바어,jv
Kannada,칸나다어,kn
Kazakh,카자흐어,kk
Khmer,크메르어,km
Kinyarwanda,키냐르완다어,rw
Korean,한국어,ko
Kurdish,쿠르드어,ku
Kyrgyz,키르기스어,ky
Lao,라오어,lo
Latin,라틴어,la
Latvian,라트비아어,lv
Lithuanian,리투아니아어,lt
Luxembourgish,룩셈부르크어,lb
Macedonian,마케도니아어,mk
Malagasy,마다가스카르어,mg
Malay,말레이어,ms
Malayalam,말라얄람어,ml
Maltese,몰타어,mt
Maori,마오리어,mi
Marathi,마라타어,mr
Mongolian,몽골어,mn
Myanmar (Burmese),미얀마어(버마어),my
Nepali,네팔어,ne
Norwegian,노르웨이어,no
Nyanja (Chichewa),니안자어(치츄어),ny
Odia (Oriya),오리야어,or
Pashto,파슈토어,ps
Persian,페르시아어,fa
Polish,폴란드어,pl
"Portuguese (Portugal, Brazil)","포르투갈어(포르투갈, 브라질)",pt
Punjabi,펀자브어,pa
Romanian,루마니아어,ro
Russian,러시아어,ru
Samoan,사모아어,sm
Scots Gaelic,스코틀랜드 게일어,gd
Serbian,세르비아어,sr
Sesotho,세소토어,st
Shona,쇼나어,sn
Sindhi,신디어,sd
Sinhala (Sinhalese),스리랑카어(싱할라어),si
Slovak,슬로바키아어,sk
Slovenian,슬로베니아어,sl
Somali,소말리어,so
Spanish,스페인어,es
Sundanese,순다어,su
Swahili,스와힐리어,sw
Swedish,스웨덴어,sv
Tagalog (Filipino),타갈로그어(필리핀어),tl
Tajik,타지크어,tg
Tamil,타밀어,ta
Tatar,타타르어,tt
Telugu,텔루구어,te
Thai,태국어,th
Turkish,터키어,tr
Turkmen,투르크멘어,tk
Ukrainian,우크라이나어,uk
Urdu,우르두어,ur
Uyghur,위구르어,ug
Uzbek,우즈베크,uz
Vietnamese,베트남어,vi
Welsh,웨일즈어,cy
Xhosa,코사어,xh
Yiddish,이디시어,yi
Yoruba,요루바어,yo
Zulu,줄루어,zu
